"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S1S","S2S","S3S","S4S","S5S","S6S","S7S","S8S","S9S","S10S","S11S","S12S","S13S","close"
"293",17.8844287702156,0,16.3685171696825,0,0,0,16.1018828519156,0,10.1375173718448,12.3124488792304,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"294",15.354747642969,0,16.317747429701,0,0,0,14.2388697688635,0,8.28896802938045,10.4488939293649,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"295",17.8919239063635,0,28.8789110412547,0,0,0,14.1350562801683,0,5.67106999747971,11.4924702652876,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"296",10.9284686061447,0,24.839194547562,0,0,0,10.2915818703396,0,11.069520512954,6.93829822962912,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"297",11.4341833270109,0,25.2249364315895,0,0,0,9.54277138295909,0,8.74091692981083,7.02100048066581,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"298",13.6508224368889,0,26.5541615242213,0,0,0,12.5346592814181,0,9.5836586031484,11.8535673400152,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"299",11.2798827372009,0,0,0,0,0,8.31087001137334,0,8.66016110975739,6.98583979593141,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"300",15.1325963200861,0,0,0,0,0,11.8228426417987,0,8.14554751868909,9.50264848286025,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"301",6.46520515904449,0,0,0,0,0,14.3162982400104,0,9.44542062308682,9.66422968921466,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"302",10.8211138726091,0,0,0,0,0,9.38705065277686,18.8437781823288,10.1349363652689,9.20815597474764,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"303",12.4900941256708,0,0,0,0,0,9.06820648571309,12.925249309034,7.8223869499383,7.56109706125203,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"304",14.8464132018555,0,0,0,0,0,9.39875750399961,18.0253331864152,9.57670839548202,5.64255824538111,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"305",12.610588747832,0,0,0,0,0,9.22749763349028,9.57620090231325,13.5695087515699,9.77552347790188,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"306",10.6866746117452,0,0,0,0,0,9.61433313835113,19.4902912646436,7.8616826749696,6.27812201484715,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"307",7.88875315257083,0,0,0,0,0,9.24394210332848,13.9475031865541,14.0730190447354,5.459740587152,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"308",11.7590885963914,0,0,0,0,0,10.8304226939751,9.14950387752232,14.930184897584,8.65253118396833,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"309",15.7001488026828,0,0,0,0,0,13.0517666657032,9.99643068359021,11.9416398356796,8.1488776865774,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"310",9.31420178589958,0,0,0,0,0,12.0576550796837,7.33611177108788,0,9.4528026915333,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"311",11.9969719127243,0,0,0,0,0,8.10212793347122,9.07682161687907,0,10.826807037776,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"312",9.98729482136469,0,0,0,0,0,11.242748168064,3.60086242241448,0,6.86938368820026,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"313",13.9775621455471,0,0,0,0,0,10.785282542343,7.58004792054821,0,7.29201416498564,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"314",15.1000275478173,0,0,0,0,0,9.20698250607059,7.2051877915435,0,10.1267573446603,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"315",11.2968603845456,0,0,0,0,0,12.8586770764329,6.71230191790821,0,10.1643622815586,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"316",11.9254557446223,0,0,0,0,0,9.57833218704259,6.1248243992185,0,7.17484266611292,0,0,21.2177815183809,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"317",8.84816630088418,0,0,0,0,0,3.19610062534707,5.3984052652741,0,12.5027181663777,0,0,18.7750581541409,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"318",7.4187149472902,0,0,0,0,0,4.29447706453822,5.84883544451333,0,8.25666852060179,0,0,11.3581013884137,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"319",9.62199196235077,0,0,0,0,0,9.67916853424177,5.90157699718923,0,11.9013282715947,0,0,14.1867444028917,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"320",5.76669236269181,0,0,0,0,0,7.95635226232393,6.17835378841807,0,6.37381435038095,0,0,12.4526610291045,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"321",9.67773865311661,0,0,0,0,0,11.7528035500796,6.56982590303864,0,0,0,0,10.9854079408616,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"322",8.36909117406828,0,0,0,0,0,9.44109996774896,7.52869866143327,0,0,0,0,16.7983928451852,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"323",13.4160124614279,0,0,0,0,0,7.02229506587587,5.98572026266954,0,0,0,0,6.62477499074005,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"324",11.2873555927867,0,0,0,0,0,11.7683064599175,4.38175742266641,0,0,0,0,8.40236366249974,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"325",12.1754398799326,0,0,0,0,0,14.8829011100583,9.79577989104719,0,0,0,0,11.682122867733,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"326",11.3786010972239,0,0,0,0,0,14.1077418586774,5.78931176231056,0,0,0,0,4.58751174965037,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"327",10.3456315424126,0,0,0,0,0,14.1966447373803,10.035087599177,0,0,0,0,3.03076847796091,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"328",15.4187449780759,0,0,0,0,0,13.6756701398211,8.73873771912649,0,0,0,0,12.3508921978814,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"329",15.2123892893902,0,0,0,0,0,13.9272438924114,9.45325805545247,0,0,0,0,11.3263790473627,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"330",13.9656579893407,0,0,0,0,0,15.6691642053485,9.53604470329103,0,0,0,0,10.6521985220585,1,0,0,0,0,0,1,1,0,0,0,0,1,0
